,India,Indonesia,Japan,Viet Nam,Sri Lanka,"Taipei,China",Rep. of Korea,Singapore,Nepal,"Hong Kong, China",Thailand,Maldives,Vanuatu,Palau,Fiji,Samoa,Georgia,Cambodia,Cook Islands,FSM,Papua New Guinea,Marshall Islands,Solomon Islands,Tonga,Tuvalu
Jan 2019,6.3,9.2,7.5,5.0,2.2,-0.5,16.3,4.1,11.0,12.9,5.3,6.5,-46.4,-29.7,1.9,8.7,-0.6,8.5,6.3,,,,,,
,3.9,3.6,3.8,10.9,7.0,12.4,15.4,-1.1,14.4,10.1,1.5,16.8,-43.9,-21.3,-0.1,22.0,-1.2,10.0,-10.1,,,,,,
,-4.2,-1.7,5.8,5.0,4.7,6.5,13.0,1.6,2.1,8.9,-0.6,22.0,-49.3,-17.8,-1.3,-4.6,4.6,10.7,-10.9,,,,,,
Apr,4.0,-2.2,0.9,9.5,-7.5,24.7,23.5,-0.7,10.9,2.1,3.2,36.3,-47.8,-18.4,20.9,33.2,3.7,16.0,3.8,,,,,,
,1.4,0.5,3.7,14.3,-70.8,23.5,20.7,0.7,13.8,10.5,-0.4,10.9,-37.8,-2.0,8.7,3.1,14.2,12.8,-4.9,,,,,,
,6.2,9.9,6.5,0.2,-57.0,8.8,15.7,2.2,14.9,1.2,1.3,21.0,-10.6,-25.3,4.9,-0.8,19.9,10.3,-1.0,,,,,,
Jul,1.4,-5.1,5.6,10.7,-46.9,15.9,16.0,2.1,-3.2,-5.3,4.7,8.0,-6.1,-21.4,1.4,28.1,4.3,10.7,1.5,,,,,,
,1.9,1.3,-2.2,14.3,-28.3,8.1,14.4,3.8,8.1,-45.9,7.4,12.4,4.8,-23.0,0.2,7.2,4.4,5.2,10.1,4.1,-0.9,1.6,7.4,2.0,0.0
,4.4,2.1,5.2,28.7,-27.2,-5.0,14.6,4.6,0.8,-41.6,10.1,9.3,-37.6,-4.6,-0.1,9.2,2.7,6.5,8.6,7.9,-0.8,9.4,1.2,3.2,3.2
Oct,6.2,4.9,-5.5,34.3,-22.5,-2.2,9.0,3.6,2.6,-46.1,12.5,11.4,-10.5,-0.4,-2.0,0.1,8.8,6.3,4.0,-4.7,-5.1,2.6,-2.1,0.9,-3.0
,7.9,10.7,-0.4,39.0,-9.5,-2.8,8.4,8.6,-11.9,-56.6,5.9,9.8,-24.9,35.2,6.4,3.7,11.9,-2.4,2.0,9.0,6.2,11.7,8.2,8.3,11.6
,2.9,-2.0,-4.0,24.4,-4.5,1.6,11.2,16.9,-17.1,-57.2,2.5,13.6,30.9,32.5,-4.3,-25.4,16.3,-5.6,3.2,-6.1,-3.4,-6.7,-4.9,-4.7,-7.3
Jan 2020,0.6,5.9,-1.1,32.8,-6.5,-6.3,16.0,5.2,-2.0,-57.8,2.5,14.4,99.9,33.4,2.5,-24.0,19.8,-15.3,-1.4,-1.1,3.7,-2.0,1.5,17.7,25.0
,-6.9,-30.5,-58.3,-21.8,-17.7,-62.6,-42.9,-49.6,-1.0,-96.4,-42.8,-11.1,47.2,-42.6,-4.9,-22.0,-0.6,-35.8,17.4,-10.3,-3.5,-2.7,-3.0,-23.8,13.0
,-66.4,-64.9,-93.0,-68.1,-70.8,-92.8,-94.6,-83.9,-73.3,-98.5,-76.4,-63.4,-41.2,-69.7,-52.8,-62.7,-58.6,-64.7,-45.5,-57.4,-53.9,-55.2,-68.0,-86.0,-55.0
Apr,-95.6,-87.5,-99.9,-98.2,-100.0,-99.8,-98.2,-99.6,-100.0,-99.8,-100.0,-100.0,-100.0,-100.0,-99.1,-100.0,-93.8,-99.1,-99.7,-100.0,-98.0,-100.0,-100.0,-100.0,-99.0
,-94.4,-86.9,-99.9,-98.3,-100.0,-99.7,-98.0,-99.7,-100.0,-99.7,-100.0,-100.0,-100.0,-100.0,-99.0,-100.0,-94.1,-97.8,,-100.0,-97.7,-100.0,-100.0,-100.0,-98.0
,-100.0,-89.1,-99.9,-99.3,-100.0,-99.2,-97.5,-99.6,-99.9,-99.3,-100.0,-100.0,-100.0,-100.0,-99.5,-100.0,-94.8,-97.3,,-100.0,-99.0,-100.0,-100.0,-100.0,-99.0
Jul,-100.0,-89.0,-99.9,-98.9,-100.0,-98.8,-95.8,-99.8,-99.7,-99.1,-100.0,-99.0,-100.0,-100.0,-99.3,-100.0,-94.8,-95.9,,-100.0,-98.0,-100.0,-100.0,-100.0,-98.0
,-100.0,-89.0,-99.7,-98.9,-100.0,-98.2,-95.7,-99.8,-99.7,-99.7,-100.0,-95.0,-100.0,-100.0,-98.9,-100.0,-96.0,-95.6,,-100.0,-97.0,-100.0,-100.0,-100.0,-97.0
Sep,,,,-99.1,-100.0,,,,,,,,,,,,-93.6,,,,,,,,
