country,ban_start,ban_end
Ghana,22-Mar,11-Aug
Kenya,25-Mar,11-Aug
Morocco,15-Mar,11-Aug
Namibia,24-Mar,11-Aug
South Africa,26-Mar,11-Aug
Argentina,15-Mar,11-Aug
Bolivia,26-Mar,11-Aug
Brazil,30-Mar,29-Jul
Canada,18-Mar,11-Aug
Chile,18-Mar,11-Aug
Colombia,23-Mar,11-Aug
Costa Rica,24-Mar,11-Aug
Dominican Republic,19-Mar,30-Jul
Ecuador,16-Mar,1-Jun
El Salvador,11-Mar,11-Aug
Guatemala,16-Mar,11-Aug
Mexico,21-Mar,6-Aug
Peru,16-Mar,11-Aug
US,11-Mar,11-Aug
Uruguay,,11-Aug
Venezuela,17-Mar,11-Aug
Cambodia,14-Mar,11-Aug
China,26-Mar,11-Aug
Hong Kong,25-Mar,11-Aug
India,18-Mar,11-Aug
Japan,15-Mar,11-Aug
Malaysia,16-Mar,11-Aug
Myanmar,19-Mar,11-Aug
Nepal,14-Mar,11-Aug
Philippines,16-Mar,11-Aug
Singapore,23-Mar,11-Aug
South Korea,,11-Aug
Sri-Lanka,19-Mar,11-Aug
Taiwan,19-Mar,11-Aug
Thailand,1-Apr,11-Aug
UAE,19-Mar,11-Aug
Vietnam,22-Mar,11-Aug
Australia,20-Mar,11-Aug
New Zealand,19-Mar,11-Aug
Israel,18-Mar,11-Aug
Jordan,1-Apr,11-Aug
Lebanon,12-Mar,11-Aug
Saudi Arabia,1-Apr,11-Aug
Austria,17-Mar,11-Aug
Belgium,17-Mar,11-Aug
Bulgaria,17-Mar,11-Aug
Croatia,17-Mar,11-Aug
Cyprus,17-Mar,11-Aug
Czech Republic,17-Mar,11-Aug
Denmark,17-Mar,11-Aug
Estonia,17-Mar,11-Aug
Finland,17-Mar,11-Aug
France,17-Mar,11-Aug
Germany,17-Mar,11-Aug
Greece,17-Mar,11-Aug
Hungary,17-Mar,11-Aug
Italy,17-Mar,11-Aug
Latvia,17-Mar,11-Aug
Lithuania,17-Mar,11-Aug
Luxembourg,17-Mar,11-Aug
Malta,17-Mar,11-Aug
Netherlands,17-Mar,11-Aug
Poland,17-Mar,11-Aug
Portugal,17-Mar,11-Aug
Romania,17-Mar,11-Aug
Slovakia,17-Mar,11-Aug
Slovenia,17-Mar,11-Aug
Spain,17-Mar,11-Aug
Sweden,17-Mar,11-Aug
Ireland,,11-Aug
North Macedonia,,11-Aug
Norway,16-Mar,11-Aug
Poland,15-Mar,11-Aug
Russia,18-Mar,11-Aug
Serbia,15-Mar,22-May
Switzerland,26-Mar,11-Aug
Turkey,27-Mar,11-Aug
Ukraine,,15-Jun
UK,13-Mar,11-Aug
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
